profession,group,count,percentage
Software Engineer,Technology & Software,12,4.36%
Marketing Manager in Health Care Sector,Healthcare Administration,10,3.64%
Physician,Physicians & Doctors,8,2.91%
Healthcare,Healthcare Administration,7,2.55%
Doctor,Physicians & Doctors,7,2.55%
MD; Resident @ ABC Hospital,IT & Infrastructure,6,2.18%
Software,Technology & Software,5,1.82%
Dentist,Dental,4,1.45%
Medicine,Other,4,1.45%
Student,Students,3,1.09%
Data Scientist,Data & Analytics,3,1.09%
Senior Software Engineer,Technology & Software,3,1.09%
Oral & Maxillofacial Surgery,Medical Specialists,2,0.73%
Resident Physician,Physicians & Doctors,2,0.73%
Software engineer & IT,Technology & Software,2,0.73%
Cardiologist,Medical Specialists,2,0.73%
Optometrist,Other,2,0.73%
Software Engineer in Tech Industry,Technology & Software,2,0.73%
Medical,Healthcare Administration,2,0.73%
Software Engineer II,Technology & Software,2,0.73%
Medical Resident,Physicians & Doctors,2,0.73%
Information Technology,IT & Infrastructure,2,0.73%
Resident Doctor,Physicians & Doctors,2,0.73%
Financial Analyst,Financial Analysis,2,0.73%
Sr Software engineer,Technology & Software,2,0.73%
Business,Other,2,0.73%
Medical Student,Healthcare Administration,2,0.73%
Financial Services (Goldman Sachs),Other,1,0.36%
Finance - Investor,Other,1,0.36%
Software Engineer at a top tech company,Technology & Software,1,0.36%
2nd Year Resident Physician,Physicians & Doctors,1,0.36%
Business Analyst in Fintech industry,Financial Analysis,1,0.36%
Data Scientist/ Sr Associate- KPMG Consulting,Data & Analytics,1,0.36%
AI Software Engineer,Technology & Software,1,0.36%
Finance Director at a Global Media Group,Management & Leadership,1,0.36%
Residency in anesthesia,Medical Trainees,1,0.36%
Bio Science,Other,1,0.36%
EHS Engineer,Other,1,0.36%
Chemical Engineer,Engineering,1,0.36%
User Experience Specialist (Design and Research) at Boeing for 3 years,Other,1,0.36%
M&A Director at an IT company,IT & Infrastructure,1,0.36%
Banking,Other,1,0.36%
AI Policy at Microsoft,Data & Analytics,1,0.36%
Quant. Dev,Financial Analysis,1,0.36%
Technical Consultant,Consulting,1,0.36%
Law Associate at Quinn and Emanuel Law,Other,1,0.36%
Principal Clinical Scientist,Healthcare Administration,1,0.36%
Genomic Analyst,Other,1,0.36%
Cloud Engineer,IT & Infrastructure,1,0.36%
Revenue Operations in Life Sciences,Sales & Business Development,1,0.36%
COO at Tech Startup,Management & Leadership,1,0.36%
Shift Supervisor in ER at Abrazo Hospitals,IT & Infrastructure,1,0.36%
Portfolio Manager,Investment & Wealth Management,1,0.36%
3rd yr Med Student,Medical Trainees,1,0.36%
Software architect,Technology & Software,1,0.36%
Legislative Official - Texas Senate,Government & Public Sector,1,0.36%
Health care consulting,Healthcare Administration,1,0.36%
Physician at UCSD,Physicians & Doctors,1,0.36%
Medical and Fellow ship,Physicians & Doctors,1,0.36%
Hospital Pharmacist,IT & Infrastructure,1,0.36%
Radiology Physician,Physicians & Doctors,1,0.36%
ML AI Engineer,Data & Analytics,1,0.36%
Staff Data Scientist; Reddit; CA; USA.,Data & Analytics,1,0.36%
health care it,IT & Infrastructure,1,0.36%
Business Financial Analyst,Financial Analysis,1,0.36%
Strategy Consultant; Chartis,Consulting,1,0.36%
Management Associate,Management & Leadership,1,0.36%
Fellow; Hematology and Oncology,Physicians & Doctors,1,0.36%
Consultant (Strategy Consulting -BioTech/Life Sciences),Consulting,1,0.36%
Doctor / Physician,Physicians & Doctors,1,0.36%
Vice President; Relationship Manager; J.P Morgan,Physicians & Doctors,1,0.36%
2nd year residency in Neurology,Medical Specialists,1,0.36%
Internal Medicine Physician,Physicians & Doctors,1,0.36%
IT Professional,IT & Infrastructure,1,0.36%
Tech Industry,Other,1,0.36%
Tech at Tech,Other,1,0.36%
Physical Therapy,Other,1,0.36%
Defence Contractor,Management & Leadership,1,0.36%
Consultant,Consulting,1,0.36%
IM Residency - 1st Year,Medical Trainees,1,0.36%
AI; Product Manager,Data & Analytics,1,0.36%
Florida Dept of Transportation,Other,1,0.36%
IT Industry,IT & Infrastructure,1,0.36%
Physician- Pediatric Oncologist,Physicians & Doctors,1,0.36%
He worked as an auditor  in KPMG for last two yRecently he joined as a Senior Consultant (Transaction Advisory)in Forvis Mazars,IT & Infrastructure,1,0.36%
EHR integration engineer,Human Resources,1,0.36%
Senior Financial Analyst; Electric Vehicles in Automobile Industry,Financial Analysis,1,0.36%
Analytics Manager,Data & Analytics,1,0.36%
Physician - Plastic Surgery Residency,Physicians & Doctors,1,0.36%
Lawyer,Legal,1,0.36%
Software Engineer at Tech Company,Technology & Software,1,0.36%
Transportation Engineer,Civil & Structural Engineering,1,0.36%
Senior Supply Chain Analyst at Sysco,Data & Analytics,1,0.36%
Roku Inc.; An American Streaming Technology Company,Other,1,0.36%
Program manager,Product & Project Management,1,0.36%
Supply Chain Management,Data & Analytics,1,0.36%
Big Tech/IT,IT & Infrastructure,1,0.36%
Business Analytics Commericial Direcotr,Data & Analytics,1,0.36%
Resident Internal medicine,Physicians & Doctors,1,0.36%
Working as Senior Consultant,Consulting,1,0.36%
Internal medicine Resident,Physicians & Doctors,1,0.36%
Senior Cloud Software Engineer; Software Industry.,Technology & Software,1,0.36%
SA @AWS,IT & Infrastructure,1,0.36%
DO; Resident @  U of L,Physicians & Doctors,1,0.36%
EMS; EMT,Other,1,0.36%
Pediatrician,Medical Specialists,1,0.36%
Software Engineer at Capital One,Technology & Software,1,0.36%
AWS Systems Engineer at Healthcare Media Company,IT & Infrastructure,1,0.36%
Customer Success Manager,Management & Leadership,1,0.36%
IT/ Solution Engineering,IT & Infrastructure,1,0.36%
Quality Care Analyst in Health Care Sector,IT & Infrastructure,1,0.36%
Consultant at PWC,Consulting,1,0.36%
NVH Engineer Ford Motor Compane,Other,1,0.36%
Clinical Research Associate,Healthcare Administration,1,0.36%
Biostatistician in Hospital,IT & Infrastructure,1,0.36%
Consutant; Business Consulting,Consulting,1,0.36%
Brand Specialist in Amazon,Other,1,0.36%
Patient Enrolment Specialist; Medical,Healthcare Administration,1,0.36%
Senior Associate,Other,1,0.36%
Healthcare Administration,Healthcare Administration,1,0.36%
Project Manager,Product & Project Management,1,0.36%
Product Services Analyst in Finance,Other,1,0.36%
Data Scientist; LLNL,Data & Analytics,1,0.36%
Business Analyst in Healthcare,Healthcare Administration,1,0.36%
Journalist at Hearst Corporation; New York City,IT & Infrastructure,1,0.36%
Sourcing/Marketing Manager; J and J,Management & Leadership,1,0.36%
Healthcare Professional,Healthcare Administration,1,0.36%
Residency in Internal Medicine,Physicians & Doctors,1,0.36%
T-Mobile,Other,1,0.36%
Software engineer @ Google,Technology & Software,1,0.36%
Attorney (Patent Law) at a top Law firm,Nursing,1,0.36%
R&D Project Manager in Medical Diagnostics Company,Product & Project Management,1,0.36%
IT Consultant - Cyber Security,IT & Infrastructure,1,0.36%
Financial Analyst; Wall Street Bank,Financial Analysis,1,0.36%
Travel Baseball Program Owner,Other,1,0.36%
Cardio thoracic anesthesiologist,Medical Specialists,1,0.36%
Office manager at a doctor's clinic,Physicians & Doctors,1,0.36%
Lead Engineer at Cadence Design systems since June 2022,Other,1,0.36%
Doctor/OBGYN,Physicians & Doctors,1,0.36%
Pulmonary; Critical Care & Sleep Physician,IT & Infrastructure,1,0.36%
Food and Drug Administration (FDA),Other,1,0.36%
Group Manager in Clinical Biotech,Healthcare Administration,1,0.36%
Senior Associate; JP Morgan,Other,1,0.36%
Validation & Quality Assurance (QA) Specialist ;  pharma company,IT & Infrastructure,1,0.36%
Software Engineer IT Mega Cap,Technology & Software,1,0.36%
Resident- PGY-2,Physicians & Doctors,1,0.36%
Public Health - Emergency Preparedness,Healthcare Administration,1,0.36%
Business Analyst/Project Manager; IT ( Gaming Industry),IT & Infrastructure,1,0.36%
Corporate Counsel; IP,Legal,1,0.36%
Working at Roswell Park Cancer Institute  as Clinical Research Coordinator,IT & Infrastructure,1,0.36%
2nd year Resident Doctor – Internal Medicine & Pediatrics,Physicians & Doctors,1,0.36%
Sr Engineer at TESLA;,Other,1,0.36%
Mental health therapist / own clinic,Healthcare Administration,1,0.36%
Data Scientist; Deloitte,Data & Analytics,1,0.36%
Consultant in Tech,Consulting,1,0.36%
Teaching,Other,1,0.36%
Product Analyst in Banking,Other,1,0.36%
Sr Product Manager,Product & Project Management,1,0.36%
Currently working as programming analyst in insurance sector,Management & Leadership,1,0.36%
Neurology residency completes in 2028,Medical Specialists,1,0.36%
Product Management in Tech,Management & Leadership,1,0.36%
IT professional,IT & Infrastructure,1,0.36%
Legal,Legal,1,0.36%
Clinical Trail Associate at Ultragenyx,Data & Analytics,1,0.36%
Data Engineer Manager; Samsung,Data & Analytics,1,0.36%
Software Engineering IT,Technology & Software,1,0.36%
State of NJ,Government & Public Sector,1,0.36%
Analyst; Dept of Treasury; State of NJ,Government & Public Sector,1,0.36%
Healkth care,Other,1,0.36%
Management Consulting,Consulting,1,0.36%
Financial,Other,1,0.36%
Data Scientist;  Business Services,Data & Analytics,1,0.36%
Fellowship in Hematology and Oncology,Physicians & Doctors,1,0.36%
